,price,Address,area,latitude,longitude,Bedrooms,Bathrooms,Price_sqft
62,63000000.0,Santacruz,1669.0,19.081175,72.841439,3.0,3.0,37747.153984421806
63,13400000.0,Andheri,1035.0,19.10005168,72.88491275,2.0,2.0,12946.859903381644
64,55500000.0,Santacruz,1775.0,19.0787080118698,72.8402855073601,3.0,3.0,31267.605633802817
65,49000000.0,Sewri,2252.0,18.99331,72.847938,3.0,3.0,21758.436944937832
66,22500000.0,Malad,1390.0,19.183819,72.861116,2.0,2.0,16187.05035971223
67,18700000.0,Mulund,1014.0,19.16668,72.94845,2.0,2.0,18441.814595660748
69,21200000.0,Goregaon,1400.0,19.1709035,72.8510933,2.0,2.0,15142.857142857143
70,14900000.0,Mira,1350.0,19.263496,72.875621,3.0,3.0,11037.037037037036
71,12800000.0,Mira,1545.0,19.28217,72.87654,3.0,3.0,8284.789644012944
72,9600000.0,Mira,1055.0,19.265946,72.880409,2.0,2.0,9099.52606635071
73,55000000.0,Andheri,1866.0,19.114625,72.884696,4.0,6.0,29474.81243301179
74,13799999.999999998,Dahisar,1070.0,19.259015,72.854824,2.0,2.0,12897.196261682242
75,16800000.0,Mira,1144.0,19.195988,72.868512,2.0,2.0,14685.314685314685
76,11700000.0,Mira,1200.0,19.281902,72.886296,3.0,3.0,9750.0
77,10600000.0,Kanjurmarg,690.0,19.136906,72.930603,2.0,2.0,15362.31884057971
78,30000000.0,Chembur,1000.0,19.032798767089844,72.89635467529297,3.0,3.0,30000.0
79,30500000.0,Matunga,950.0,19.03039,72.85475,2.0,2.0,32105.263157894737
80,10400000.0,Mira,1024.0,19.263496,72.875621,2.0,2.0,10156.25
81,34000000.0,Chembur,1019.0,19.053375,72.897061,3.0,3.0,33366.04514229637
82,38800000.0,Malad,2377.0,19.18023681640625,72.85541534423828,3.0,3.0,16323.096339924274
83,29000000.0,Andheri,1377.0,19.140335,72.8647155,3.0,2.0,21060.275962236745
84,25400000.0,Bhandup,1507.0,19.156373,72.938945,3.0,3.0,16854.678168546783
85,36000000.0,Jogeshwari,2250.0,19.139475,72.864462,3.0,4.0,16000.0
86,13899999.999999998,Sion,1200.0,19.040233,72.8601801,2.0,2.0,11583.333333333332
87,9000000.0,Mira,1071.0,19.273876,72.880675,2.0,2.0,8403.361344537816
88,17000000.0,Goregaon,1100.0,19.162992477416992,72.83930206298828,2.0,2.0,15454.545454545454
89,27800000.0,Mulund,1600.0,19.171175,72.940328,3.0,3.0,17375.0
90,17000000.0,Malad,1190.0,19.1907193,72.8618457,2.0,2.0,14285.714285714286
91,18000000.0,Chembur,950.0,19.057437,72.905785,2.0,2.0,18947.36842105263
92,29600000.0,Kandivali,1600.0,19.21104,72.869411,3.0,2.0,18500.0
93,56400000.0,Vile,2068.0,19.100385665893555,72.8504638671875,3.0,3.0,27272.727272727272
94,340000000.0,Worli,8000.0,19.0166667,72.8166667,5.0,6.0,42500.0
95,26700000.0,Mulund,2017.0,19.1657808,72.934534,3.0,3.0,13237.48140803173
96,60000000.0,Juhu,1800.0,19.098821,72.8320717,3.0,3.0,33333.333333333336
97,33500000.0,Powai,1540.0,19.123709,72.892867,3.0,3.0,21753.246753246756
98,54000000.0,Mulund,3018.0,19.1746739,72.9431038,4.0,5.0,17892.644135188868
99,29000000.0,Mulund,1800.0,19.157602,72.945243,3.0,3.0,16111.111111111111
100,8200000.0,Mira,1062.0,19.280103,72.8794099,2.0,2.0,7721.280602636535
101,230000000.0,Worli,4600.0,19.0082903,72.8201324,4.0,4.0,50000.0
102,18100000.0,Andheri,1200.0,19.12258624,72.86705,2.0,2.0,15083.333333333334
103,29000000.0,Matunga,894.0,19.031132,72.843476,2.0,2.0,32438.47874720358
104,73000000.0,Vile,2410.0,19.100385,72.850466,4.0,4.0,30290.45643153527
105,14400000.0,Sion,1050.0,19.040233,72.8601801,2.0,2.0,13714.285714285714
106,7730000.0,Mira,1031.0,19.282975,72.873618,2.0,2.0,7497.575169738118
107,8170000.0,Mira,974.0,19.2834,72.886291,2.0,2.0,8388.090349075976
108,8300000.0,Mira,1013.0,19.2834,72.886291,2.0,2.0,8193.484698914117
109,23500000.0,Goregaon,850.0,19.16697,72.83154,2.0,2.0,27647.058823529413
110,81000000.0,Worli,2340.0,19.004529021432425,72.8311680180356,4.0,4.0,34615.38461538462
111,7800000.0,Mira,1013.0,19.2834,72.886291,2.0,2.0,7699.901283316881
112,33500000.0,Andheri,1450.0,19.12419,72.83021,3.0,3.0,23103.44827586207
113,15000000.0,Ghatkopar,676.0,19.07906913757324,72.90797424316406,2.0,2.0,22189.34911242604
114,8280000.0,Mira,974.0,19.2834,72.886291,2.0,2.0,8501.026694045175
115,18400000.0,Goregaon,990.0,19.1590077,72.8692711,2.0,2.0,18585.858585858587
116,22500000.0,Chembur,1000.0,19.043911,72.898778,2.0,2.0,22500.0
