,price,Address,area,Bedrooms,Bathrooms
144,40000000.0,Andheri,1450.0,3.0,3.0
145,21000000.0,Andheri,965.0,2.0,2.0
146,23500000.0,Andheri,1000.0,2.0,2.0
148,16000000.0,Andheri,890.0,2.0,2.0
149,30000000.0,Andheri,1100.0,2.0,2.0
150,15500000.0,Andheri,854.0,2.0,2.0
151,18000000.0,Andheri,600.0,2.0,2.0
152,18000000.0,Andheri,720.0,2.0,2.0
153,22500000.0,Andheri,1170.0,2.0,2.0
154,25000000.0,Andheri,1250.0,2.0,2.0
155,17000000.0,Andheri,718.0,2.0,2.0
156,23000000.0,Andheri,860.0,2.0,2.0
157,18000000.0,Andheri,850.0,2.0,2.0
159,18500000.0,Andheri,815.0,2.0,2.0
161,32500000.0,Andheri,1194.0,2.0,2.0
162,19000000.0,Andheri,750.0,2.0,2.0
163,24500000.0,Andheri,1050.0,2.0,2.0
165,40000000.0,Andheri,1635.0,3.0,3.0
166,30000000.0,Andheri,1050.0,3.0,3.0
167,17000000.0,Andheri,650.0,2.0,2.0
168,52200000.0,Andheri,1865.0,3.0,3.0
170,19100000.0,Andheri,699.0,2.0,2.0
172,20000000.0,Andheri,900.0,2.0,2.0
173,23500000.0,Andheri,925.0,2.0,2.0
175,54500000.0,Andheri,1800.0,3.0,4.0
176,60000000.0,Andheri,2000.0,2.0,2.0
178,42000000.0,Andheri,1572.0,4.0,4.0
179,17500000.0,Andheri,800.0,2.0,2.0
180,21000000.0,Andheri,900.0,2.0,2.0
181,15000000.0,Andheri,780.0,2.0,2.0
182,22200000.000000004,Andheri,900.0,2.0,2.0
184,26000000.0,Andheri,1200.0,2.0,2.0
185,20000000.0,Andheri,1000.0,2.0,2.0
186,16500000.0,Andheri,670.0,2.0,2.0
187,15500000.0,Andheri,900.0,2.0,2.0
188,22500000.0,Andheri,1280.0,2.0,2.0
189,14000000.0,Andheri,600.0,2.0,2.0
190,20000000.0,Andheri,875.0,2.0,2.0
191,31500000.0,Andheri,1058.0,3.0,3.0
192,22500000.0,Andheri,975.0,3.0,2.0
193,25000000.0,Andheri,890.0,2.0,2.0
194,25000000.0,Andheri,830.0,3.0,2.0
195,14000000.0,Andheri,675.0,2.0,2.0
196,16500000.0,Andheri,735.0,2.0,2.0
197,14000000.0,Andheri,550.0,2.0,2.0
199,11500000.0,Andheri,520.0,2.0,2.0
201,25000000.0,Andheri,960.0,2.0,2.0
202,17500000.0,Andheri,915.0,2.0,2.0
203,20000000.0,Andheri,884.0,2.0,2.0
204,40000000.0,Andheri,1400.0,4.0,3.0
205,20500000.0,Andheri,850.0,2.0,2.0
206,16000000.0,Andheri,800.0,2.0,2.0
207,18500000.0,Andheri,840.0,2.0,2.0
208,33900000.0,Andheri,1200.0,2.0,2.0
209,25000000.0,Andheri,900.0,3.0,2.0
210,22500000.0,Andheri,950.0,2.0,2.0
211,22500000.0,Andheri,905.0,2.0,2.0
212,17500000.0,Andheri,1000.0,2.0,2.0
213,17500000.0,Andheri,717.0,2.0,2.0
214,40000000.0,Andheri,1650.0,3.0,3.0
215,23000000.0,Andheri,950.0,3.0,3.0
218,24000000.0,Andheri,1100.0,2.0,2.0
219,45000000.0,Andheri,2285.0,2.0,2.0
220,18500000.0,Andheri,703.0,2.0,2.0
221,21000000.0,Andheri,855.0,2.0,2.0
222,20000000.0,Andheri,900.0,2.0,2.0
223,27500000.0,Andheri,1250.0,2.0,2.0
224,21000000.0,Andheri,836.0,2.0,2.0
225,21000000.0,Andheri,1060.0,2.0,2.0
226,25000000.0,Andheri,985.0,2.0,2.0
227,14500000.0,Andheri,825.0,2.0,2.0
228,14000000.0,Andheri,750.0,2.0,2.0
229,25000000.0,Andheri,880.0,2.0,2.0
230,24500000.0,Andheri,975.0,2.0,2.0
231,23500000.0,Andheri,1125.0,2.0,2.0
232,19000000.0,Andheri,1091.0,2.0,2.0
234,21500000.0,Andheri,1150.0,2.0,2.0
236,40000000.0,Andheri,1500.0,3.0,2.0
237,19000000.0,Andheri,800.0,2.0,2.0
238,23000000.0,Andheri,970.0,2.0,2.0
239,15000000.0,Andheri,600.0,2.0,2.0
240,26500000.0,Andheri,986.0,2.0,2.0
241,18000000.0,Andheri,900.0,2.0,2.0
242,18000000.0,Andheri,625.0,2.0,2.0
243,24000000.0,Andheri,1175.0,2.0,2.0
244,23000000.0,Andheri,1155.0,2.0,2.0
246,25000000.0,Andheri,895.0,2.0,2.0
247,23500000.0,Andheri,900.0,2.0,2.0
248,16500000.0,Andheri,800.0,2.0,2.0
249,21000000.0,Andheri,875.0,2.0,2.0
250,22500000.0,Andheri,1250.0,2.0,2.0
251,22500000.0,Andheri,900.0,2.0,2.0
252,20000000.0,Andheri,800.0,2.0,2.0
253,15000000.0,Andheri,575.0,2.0,2.0
254,17000000.0,Andheri,695.0,2.0,2.0
255,16500000.0,Andheri,700.0,2.0,2.0
258,30000000.0,Andheri,1400.0,2.0,2.0
259,17500000.0,Andheri,800.0,2.0,2.0
260,18000000.0,Andheri,777.0,2.0,2.0
261,17000000.0,Andheri,915.0,2.0,2.0
262,20000000.0,Andheri,850.0,2.0,2.0
263,23000000.0,Andheri,1100.0,2.0,2.0
264,13500000.0,Andheri,748.0,2.0,2.0
265,17600000.0,Andheri,745.0,2.0,2.0
266,25000000.0,Andheri,850.0,3.0,4.0
268,25000000.0,Andheri,1250.0,2.0,2.0
269,13000000.0,Andheri,755.0,2.0,2.0
270,21000000.0,Andheri,925.0,2.0,2.0
271,21000000.0,Andheri,915.0,2.0,2.0
272,20500000.0,Andheri,845.0,2.0,2.0
274,38000000.0,Andheri,1340.0,3.0,3.0
275,27000000.0,Andheri,1150.0,2.0,2.0
276,20000000.0,Andheri,1000.0,2.0,2.0
277,18500000.0,Andheri,930.0,2.0,2.0
278,17000000.0,Andheri,712.0,2.0,2.0
279,15500000.0,Andheri,900.0,2.0,2.0
281,54000000.0,Andheri,1850.0,3.0,3.0
283,24000000.0,Andheri,1065.0,2.0,2.0
284,24000000.0,Andheri,1150.0,2.0,2.0
285,18500000.0,Andheri,920.0,2.0,2.0
